Sales Order #,Customer,Order Date,Promise Date,Item,Order Quantity,QOH,Remaining QOH,days_past_prom_dt,edw_load_dtm
267562,WEB,08/29/2022,09/05/2022,SDWV4WH,16,19,3,1,2022-09-06 20:43:14
267562,WEB,08/29/2022,09/05/2022,DWV4WH,15,15,0,1,2022-09-06 20:43:13
267562,WEB,08/29/2022,09/05/2022,SDWV6WH,15,15,0,1,2022-09-06 20:43:14
267181,AMAZ,08/23/2022,09/06/2022,WVEB8BR,1,17,16,0,2022-09-06 20:43:14
267199,AMAZ,08/23/2022,09/06/2022,SDWV4CU,3,8,5,0,2022-09-06 20:43:14
267199,AMAZ,08/23/2022,09/06/2022,SDWV6CU,2,2,0,0,2022-09-06 20:43:14
267206,AMAZ,08/23/2022,09/06/2022,SWV8,6,15,9,0,2022-09-06 20:43:14
267229,AMAZ,08/23/2022,09/06/2022,SDWV8,1,36,35,0,2022-09-06 20:43:14
267650,WEB,08/30/2022,09/06/2022,WVEB8WH,1,2,1,0,2022-09-06 20:43:14
267658,WEB,08/30/2022,09/06/2022,CTS8,1,1,0,0,2022-09-06 20:43:13
267660,WEB,08/30/2022,09/06/2022,SWV6A,1,39,38,0,2022-09-06 20:43:14
267670,WEB,08/30/2022,09/06/2022,WV310SA,1,1,0,0,2022-09-06 20:43:14
267674,WEB,08/30/2022,09/06/2022,SDWV4WH,1,3,2,0,2022-09-06 20:43:14
267678,WEB,08/30/2022,09/06/2022,WVEB8WH,1,64,63,0,2022-09-06 20:43:14
267679,WEB,08/30/2022,09/06/2022,CTS9,1,2,1,0,2022-09-06 20:43:13
267688,WEB,08/30/2022,09/06/2022,CTS9,1,1,0,0,2022-09-06 20:43:13
267702,WEB,08/30/2022,09/06/2022,DWV4BK,1,28,27,0,2022-09-06 20:43:13
267712,WEB,08/30/2022,09/06/2022,WVEB8BR,1,18,17,0,2022-09-06 20:43:14
267715,WEB,08/30/2022,09/06/2022,BK6,1,1,0,0,2022-09-06 20:43:13
267730,WEB,08/30/2022,09/06/2022,WVEB8BK,1,7,6,0,2022-09-06 20:43:14
267734,WEB,08/30/2022,09/06/2022,SR8R,1,2,1,0,2022-09-06 20:43:14
267734,WEB,08/30/2022,09/06/2022,WVEB8A,1,12,11,0,2022-09-06 20:43:14
267736,WEB,08/30/2022,09/06/2022,GB5,1,1,0,0,2022-09-06 20:43:14
267737,WEB,08/30/2022,09/06/2022,WVEB8BK,1,58,57,0,2022-09-06 20:43:14
267745,WEB,08/30/2022,09/06/2022,CTS7SS,1,1,0,0,2022-09-06 20:43:13
267746,WEB,08/30/2022,09/06/2022,WVEBH6BK,1,278,277,0,2022-09-06 20:43:14
267747,WEB,08/30/2022,09/06/2022,WVEB8WH,1,63,62,0,2022-09-06 20:43:14
